name,team,cost,pos,sel,g,a,cs,mins,ti,to
B. Radunović,SRB,4,GK,0,0,0,0,0,38,270
E. Sobol,UKR,4,DEF,0,0,0,0,0,257,277
B. Mykhaylichenko,UKR,4,DEF,0,0,0,0,0,140,157
O. Svatok,UKR,4,DEF,0,0,0,4,213,468,343
M. Dmitrović,SRB,4,GK,0,0,0,0,0,418,633
F. Stankovic,SRB,4,GK,0,0,0,0,0,75,275
P. Rajković,SRB,4,GK,0,0,0,0,0,442,591
D. Rosić,SRB,4,GK,0,0,0,0,0,95,344
E. Mašović,SRB,4,DEF,0,0,0,0,0,142,171
S. Bornauw,BEL,4,DEF,0,0,0,0,0,138,148
M. Turk,SVN,4,GK,0,0,0,0,0,71,305
A. Ivačič,SVN,4,GK,0,0,0,0,0,114,315
Z. Vanheusden,BEL,4,DEF,0,0,0,0,0,178,179
N. Stojić,SRB,4,DEF,0,0,0,0,0,102,112
Robby McCrorie,SCO,4,GK,0,0,0,0,0,150,366
Z. Clark,SCO,4,GK,0,0,0,0,180,602,408
Ross McCrorie,SCO,4,DEF,0,0,0,0,0,259,238
J. Doig,SCO,4,DEF,0,0,0,0,0,257,278
J. Blaswich,GER,4,GK,0,0,0,0,0,125,172
M. Aioani,ROU,4,GK,0,0,0,0,0,164,187
Ş. Târnovanu,ROU,4,GK,0,0,0,0,0,395,481
M. Dobre,ROU,4,DEF,0,0,0,1,92,88,99
A. Borza,ROU,4,DEF,0,0,0,0,0,76,104
I. Nedelcearu,ROU,4,DEF,0,0,0,0,0,74,84
Camora,ROU,4,DEF,0,0,0,0,4,95,132
V. Ţicu,ROU,4,DEF,0,0,0,0,0,86,122
A. Dumitrescu,ROU,4,DEF,0,0,0,0,0,194,289
V. Mogoș,ROU,4,DEF,0,0,0,0,0,367,420
