name,team,cost,pos,sel,g,a,cs,mins,ti,to
T. Hernández,FRA,5.5,DEF,26,0,2,6,720,54549,29493
M. Maignan,FRA,5.5,GK,17,0,0,0,0,24303,22039
T. Alexander-Arnold,ENG,5.5,DEF,14,1,1,3,317,30150,22568
J. Gvardiol,CRO,5.5,DEF,14,0,0,5,675,13325,21861
K. Walker,ENG,5.5,DEF,11,1,1,3,585,13272,15152
W. Saliba,FRA,5.5,DEF,10,0,0,0,160,9439,15178
T. Courtois,BEL,5.5,GK,10,0,0,0,0,13952,29674
G. Di Lorenzo,ITA,5.5,DEF,9,0,1,2,426,22277,22768
A. Bastoni,ITA,5.5,DEF,7,0,0,0,0,6777,9853
D. Dumfries,NED,5.5,DEF,7,0,5,4,507,14787,20359
D. Carvajal,ESP,5.5,DEF,6,0,0,0,0,6069,6619
M. de Ligt,NED,5.5,DEF,5,0,0,0,0,3660,6737
D. Udogie,ITA,5.5,DEF,4,0,1,1,108,3735,11942
N. Aké,NED,5.5,DEF,4,2,0,3,485,3362,6513
A. Robertson,SCO,5.5,DEF,4,0,3,5,494,3781,6698
M. Ter Stegen,GER,5.5,GK,3,0,0,0,0,2963,6563
O. Zinchenko,UKR,5.5,MID,3,1,1,3,592,11823,10996
U. Simón,ESP,5.5,GK,3,0,0,0,204,3757,5835
I. Konaté,FRA,5.5,DEF,3,0,0,4,342,2185,4253
J. Mæhle,DEN,5.5,DEF,2,2,1,3,670,8430,8938
P. Porro,ESP,5.5,DEF,2,0,0,0,0,2429,8475
K. Mainoo,ENG,5.5,MID,2,0,0,0,0,4470,3855
D. Alaba,AUT,5.5,DEF,2,0,1,3,283,1224,4020
S. Mitrović,SRB,5.5,MID,1,0,0,1,90,1485,1664
K. Yıldız,TUR,5.5,FWD,1,0,0,2,135,2975,2589
C. Adams,SCO,5.5,FWD,1,0,0,0,0,2794,2634
K. Thuram,FRA,5.5,MID,1,0,0,1,18,1316,1371
M. Locatelli,ITA,5.5,MID,1,0,0,0,0,1910,2390
M. Verratti,ITA,5.5,MID,1,0,0,1,17,2592,3044
P. Højbjerg,DEN,5.5,MID,1,0,0,0,0,4022,3366
R. Guerreiro,POR,5.5,DEF,1,0,0,4,163,1504,3142
L. Hernández,FRA,5.5,DEF,1,0,0,0,0,927,1822
C. Biraghi,ITA,5.5,DEF,0,0,0,0,0,245,814
L. Samardžić,SRB,5.5,MID,0,0,0,3,136,710,989
N. Maksimović,SRB,5.5,MID,0,0,0,2,181,148,406
E. Nketiah,ENG,5.5,FWD,0,0,0,0,0,309,428
E. Eze,ENG,5.5,MID,0,0,0,1,45,1488,1531
I. Ilić,SRB,5.5,MID,0,0,0,0,0,235,494
D. Praet,BEL,5.5,MID,0,0,0,0,0,218,320
A. Cicâldău,ROU,5.5,MID,0,0,0,6,230,63,203
V. Černý,CZE,5.5,FWD,0,3,0,0,293,270,375
O. Popescu,ROU,5.5,MID,0,0,0,1,180,72,227
N. Stanciu,ROU,5.5,MID,0,3,0,7,827,1836,1509
J. Brown,SCO,5.5,FWD,0,0,0,0,90,355,509
L. Shankland,SCO,5.5,FWD,0,1,0,0,6,808,931
K. Schade,GER,5.5,FWD,0,0,0,0,0,64,87
F. Grillitsch,AUT,5.5,MID,0,0,1,2,156,155,260
M. Seidl,AUT,5.5,MID,0,0,0,1,180,43,76
X. Schlager,AUT,5.5,MID,0,0,0,0,0,345,520
M. Berisha,GER,5.5,FWD,0,0,0,0,0,23,32
D. Olaru,ROU,5.5,MID,0,0,0,6,496,25,62
Y. Akgün,TUR,5.5,FWD,0,0,0,0,0,113,132
U. Nayir,TUR,5.5,FWD,0,1,0,3,226,39,54
M. Zaccagni,ITA,5.5,FWD,0,0,1,0,166,321,287
M. Marin,ROU,5.5,MID,0,0,0,5,393,71,111
E. Can,GER,5.5,MID,0,0,0,0,0,586,641
P. Stojanović,SVN,5.5,MID,0,0,3,4,772,115,145
C. Fassnacht,SUI,5.5,MID,0,0,0,0,45,62,121
D. Sow,SUI,5.5,MID,0,0,0,0,0,434,532
U. Bislimi,SUI,5.5,MID,0,0,0,1,180,11,56
A. Jashari,SUI,5.5,MID,0,0,0,0,0,29,67
S. Zuber,SUI,5.5,MID,0,0,0,0,10,393,280
J. Veretout,FRA,5.5,MID,0,0,0,0,0,38,49
M. Sarkaria,AUT,5.5,FWD,0,0,0,0,0,65,74
R. Freuler,SUI,5.5,MID,0,2,3,5,762,773,508
B. Cristante,ITA,5.5,MID,0,0,0,0,0,270,212
D. Bîrligea,ROU,5.5,FWD,0,0,0,1,90,17,21
D. Strelec,SVK,5.5,FWD,0,0,0,0,0,28,26
R. Polievka,SVK,5.5,FWD,0,0,0,0,0,16,14
I. Schranz,SVK,5.5,FWD,0,0,0,0,0,8,16
Ľ. Tupta,SVK,5.5,FWD,0,0,0,2,34,14,10
D. Drăguş,ROU,5.5,FWD,0,0,0,0,113,43,53
T. Seferi,ALB,5.5,MID,0,2,0,4,394,66,101
V. Mihăilă,ROU,5.5,FWD,0,3,0,0,171,82,76
R. Jack,SCO,5.5,MID,0,0,0,0,0,33,64
